model,alg,rabinpairorder,workers,buchi,ltl,errmsg,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,autsize,rabinpairs,ftrans,formula,hoa

at.5_000,favoid,-1,16,ltl3tela,10,OK,0.000,2018-05-04.22:32:03,0,1,6,16,112,16,0,0,16,16,2,1,0,-1,-1
at.5_000,ufscc,-1,16,tgba,1,OK,0.010,2018-05-04.22:32:05,0,1,6,16,112,16,0,0,16,16,2,1,-1,-1,-1
at.5_000,favoid,-1,16,rabinizer3,10,OK,0.000,2018-05-04.22:32:06,0,1,6,16,112,16,0,0,16,16,3,1,0,-1,-1
at.5_001,favoid,-1,16,ltl3tela,-1,OK,16.580,2018-05-04.22:32:25,2,31999441,129424256,39567530,159834978,1870,5,105326248,34360175,4054211,4,1,0,-1,-1
at.5_001,ufscc,-1,16,tgba,-1,OK,19.010,2018-05-04.22:32:47,2,31999441,129424256,45435202,184081214,2872,5,110047800,35356867,4146815,4,1,-1,-1,-1
at.5_002,favoid,-1,16,ltl3tela,10,OK,0.020,2018-05-04.22:39:49,0,7,42,32,208,13,0,0,32,32,8,1,0,-1,-1
at.5_002,ufscc,-1,16,tgba,2,OK,0.010,2018-05-04.22:39:51,0,5,30,26,172,10,0,0,26,26,5,1,-1,-1,-1
at.5_003,favoid,-1,16,ltl3tela,-1,OK,2.720,2018-05-04.22:39:57,1248549,3604771,12353583,4071247,14109288,1426,3362938,5895290,3787662,194033,4,1,0,-1,-1
at.5_003,ufscc,-1,16,tgba,-1,OK,1.730,2018-05-04.22:40:01,1248549,3604771,12353577,3742590,12883430,1391,3313121,5627596,3650148,173543,5,1,-1,-1,-1
at.5_003,favoid,-1,16,ltl3dra,-1,OK,111.440,2018-05-04.22:41:54,35604211,35604211,139087780,101064675,101064675,0,0,0,101064675,16,6,1,35604210,-1,-1
at.5_003,favoid,-1,16,rabinizer3,-1,OK,111.030,2018-05-04.22:43:47,35604211,35604211,139087780,103135276,103135276,0,0,0,103135276,16,6,1,35604210,-1,-1
